date,abbreviation_canton_and_fl,ncumul_conf,ncumul_deceased,current_hosp,current_icu,current_vent
2020-02-24,FL,0,0,,,
2020-02-25,FL,0,0,,,
2020-02-26,FL,0,0,,,
2020-02-27,FL,0,0,,,
2020-02-28,FL,0,0,,,
2020-02-29,FL,0,0,,,
2020-03-01,FL,0,0,,,
2020-03-02,FL,1,0,,,
2020-03-03,FL,1,0,,,
2020-03-04,FL,1,0,,,
2020-03-05,FL,1,0,,,
2020-03-06,FL,1,0,,,
2020-03-07,FL,1,0,,,
2020-03-08,FL,1,0,,,
2020-03-09,FL,1,0,,,
2020-03-10,FL,3,0,,,
2020-03-11,FL,4,0,,,
2020-03-12,FL,5,0,,,
2020-03-13,FL,7,0,,,
2020-03-14,FL,11,0,,,
2020-03-15,FL,14,0,,,
2020-03-16,FL,19,0,,,
2020-03-17,FL,25,0,,,
2020-03-18,FL,34,0,,,
2020-03-19,FL,36,0,,,
2020-03-20,FL,44,0,,,
2020-03-21,FL,46,0,,,
2020-03-22,FL,48,0,,,
2020-03-23,FL,51,0,,,
2020-03-24,FL,53,0,,,
2020-03-25,FL,58,0,,,
2020-03-26,FL,62,0,,,
2020-03-27,FL,63,0,,,
2020-03-28,FL,64,0,,,
2020-03-29,FL,65,0,,,
2020-03-30,FL,69,0,,,
2020-03-31,FL,73,0,,,
2020-04-01,FL,76,0,,,
2020-04-02,FL,77,0,,,
2020-04-03,FL,78,0,,,
2020-04-04,FL,78,1,,,
2020-04-05,FL,78,1,,,
2020-04-06,FL,79,1,,,
2020-04-07,FL,79,1,,,
2020-04-08,FL,80,1,,,
2020-04-09,FL,80,1,,,
2020-04-10,FL,80,1,,,
2020-04-11,FL,81,1,,,
2020-04-12,FL,81,1,,,
2020-04-13,FL,81,1,,,
2020-04-14,FL,81,1,,,
2020-04-15,FL,81,1,,,
2020-04-16,FL,82,1,,,
2020-04-17,FL,82,1,,,
2020-04-18,FL,82,1,,,
2020-04-19,FL,82,1,,,
2020-04-20,FL,82,1,,,
2020-04-21,FL,82,1,,,
2020-04-22,FL,82,1,,,
2020-04-23,FL,83,1,,,
2020-04-24,FL,83,1,,,
2020-04-25,FL,83,1,,,
2020-04-26,FL,83,1,,,
2020-04-27,FL,83,1,,,
2020-04-28,FL,83,1,,,
2020-04-29,FL,83,1,,,
2020-04-30,FL,83,1,,,
2020-05-01,FL,83,1,,,
2020-05-02,FL,83,1,,,
2020-05-03,FL,83,1,,,
2020-05-04,FL,83,1,,,
2020-05-05,FL,83,1,,,
2020-05-06,FL,83,1,,,
2020-05-07,FL,83,1,,,
2020-05-08,FL,83,1,,,
2020-05-09,FL,83,1,,,
2020-05-10,FL,83,1,,,
2020-05-11,FL,83,1,,,
2020-05-12,FL,83,1,,,
2020-05-13,FL,83,1,,,
2020-05-14,FL,83,1,,,
2020-05-15,FL,83,1,,,
2020-05-16,FL,83,1,,,
2020-05-17,FL,83,1,,,
2020-05-18,FL,83,1,,,
2020-05-19,FL,83,1,,,
2020-05-20,FL,83,1,,,
2020-05-21,FL,83,1,,,
2020-05-22,FL,83,1,,,
2020-05-23,FL,83,1,,,
2020-05-24,FL,83,1,,,
2020-05-25,FL,83,1,,,
